Os Fantasmas Ainda se Divertem - Beetlejuice Beetlejuice,2024,7.2/10,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid,... Read all"
Horizon: An American Saga - Chapter 1,2024,6.8/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Os Novatos,2024,5.8/10,Four freshmen navigate the terrors of adolescence at their first-ever high school party.
Pisque Duas Vezes,2024,6.9/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"
Twisters,2024,6.7/10,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
A Liga,2024,5.4/10,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
Deadpool & Wolverine,2024,8.0/10,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
É Assim que Acaba,2024,6.7/10,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to mak... Read all"
O Corvo,2024,4.7/10,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
Alien: Romulus,2024,7.4/10,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Longlegs: Vínculo Mortal,2024,6.8/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Tipos de Gentileza,2024,6.7/10,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual pro... Read all"
Furiosa: Uma Saga Mad Max,2024,7.6/10,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Vida de Cabra,2024,7.1/10,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert."
Os Fantasmas se Divertem,1988,7.5/10,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
Strange Darling,2023,7.7/10,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.
The Killer,2024,5.7/10,An assassin tries to make amends in an effort to restore the sight of a beautiful young singer.
Stree 2: Sarkate Ka Aatank,2024,7.7/10,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his frien... Read all"
Armadilha,2024,6.0/10,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Alien - O 8º Passageiro,1979,8.5/10,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Divertida Mente 2,2024,7.7/10,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to th... Read all"
Borderlands - O Destino do Universo Está em Jogo,2024,4.4/10,"Based on the best-selling videogame, this all-star action-adventure follows a ragtag team of misfits on a mission to save a missing girl who holds the key to unimaginable power."
Kalki 2898-AD,2024,7.2/10,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.
O Corvo,1994,7.5/10,"The night before his wedding, musician Eric Draven and his fiancée are brutally murdered by members of a violent gang. On the anniversary of their death, Eric rises from the grave and assume... Read all"
